Burhan,Aydın,423557472,ev,Test ortamı ic in adres detay No:109 giriliyor,35313
Ali,Veli,555217474,evs,Te st ortamı icin ad res  blgisi giriliyor No:100,35312
Burhan,Aydin,637234646,EV de,Te st ortami ic n adres det ay bilgisi giriliyor No:105,35014
Fatıma,Ayşe,423557472,Evi mde,Test ortamı icin adres detay bilgisi No:109,35015
Kader,Sevda,555217474,İSİM DE,Te st ortamı icin ades d etay bilgisi giryor No:110,35016
Emre,Ozturk,555324531,EV ADR ESIM,Test ortamı icin adres detay bili giriliyor No:150,35917
Ugur,Elif,637234646,İŞTE,Test orta mı icin adres det bil gisi giriliyor No:108,33314
Fatıma,Ali,423557472,Evimdey ken,Test ortamı  adres detay bilgisi giriliyor No:190,35715
Kader,Sevda,555217474,iste ki,Test icin ad res detay bilgis i girilyor No:199,35616
Mahmut,Sevda,555217474,iste kis,Test icin adres detay bilgisi girilyor No:233,35616
